"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Typ) (V) ","P1dB (Typ) (dBm) ","P1dB (Typ) (W) ","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","测试信号","功率增益 (Typ) (dB)  @ f (MHz)","效率 (Typ) (%) ","热阻 (Spec)(&#176;C/W)","匹配","类型","模具技术","PLC代码","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","P3dB (Typ) (W) ","频率 (Min-Max) (MHz) ","无铅","认证级别","RoHS","应用","输出功率 (Typ) (W) (P1dB)","增益 (Typ) (dB) ","互调失真 - IMD (Typ) (dBc) ","互调失真 - IM3 (Typ) (dBc) ","宽带效率 (Typ) (%) ","宽带频率 (Min-Max) (MHz) (f)","替代部件"
"FSL","射频---射频移动通信基础架构","MRF8P9040N","MRF8P9040GNR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P9040N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/728-960-mhz-4.0-w-avg.-28-v-cdma-w-cdma-lte-rf-power-ldmos-transistors:MRF8P9040N?&fpsp=1&tab=Documentation_Tab#MRF8P9040GNR1","CDMA, W-CDMA, LTE Lateral N-Channel RF Power MOSFET, 728-960 MHz, 4.0 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P9040GNR1');trackRFAnalytics('MRF8P9040GNR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","728","960","28","46.2","42","4 @ AVG","W-CDMA","19.1 @ 960","19.9","1.5","Input","AB","LDMOS","3","-","High Pwr RF SMT 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","-","728 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","19.1","700 to 1000","-"
"FSL","射频---射频移动通信基础架构","MRF8P9040N","MRF8P9040NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P9040N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/728-960-mhz-4.0-w-avg.-28-v-cdma-w-cdma-lte-rf-power-ldmos-transistors:MRF8P9040N?&fpsp=1&tab=Documentation_Tab#MRF8P9040NR1","CDMA, W-CDMA, LTE Lateral N-Channel RF Power MOSFET, 728-960 MHz, 4.0 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P9040NR1');trackRFAnalytics('MRF8P9040NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","728","960","28","46.2","42","4 @ AVG","W-CDMA","19.1 @ 960","19.9","1.5","Input","AB","LDMOS","3","-","High Pwr RF SMT 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","-","728 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","19.1","700 to 1000","-"
"FSL","射频---射频移动通信基础架构","MRF8P8300H","MRF8P8300HR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P8300H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/790-820-mhz-96-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8P8300H?&fpsp=1&tab=Documentation_Tab#MRF8P8300HR6","Single W-CDMA Lateral N-Channel RF Power MOSFET, 790-820 MHz, 96 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P8300HR6');trackRFAnalytics('MRF8P8300HR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","790","820","28","55.3","340","96 @ AVG","W-CDMA","20.9 @ 820","35.7","0.26","I/O","AB","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","-","790 to 820","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P8300H","MRF8P8300HSR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P8300H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/790-820-mhz-96-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8P8300H?&fpsp=1&tab=Documentation_Tab#MRF8P8300HSR6","Single W-CDMA Lateral N-Channel RF Power MOSFET, 790-820 MHz, 96 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P8300HSR6');trackRFAnalytics('MRF8P8300HSR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","790","820","28","55.3","340","96 @ AVG","W-CDMA","20.9 @ 820","35.7","0.26","I/O","AB","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","-","790 to 820","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P26080H","MRF8P26080HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P26080H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/3400-3800-mhz/2500-2700-mhz-14-w-avg.-28-v-w-cdma-lte-rf-power-ldmos-transistors:MRF8P26080H?&fpsp=1&tab=Documentation_Tab#MRF8P26080HSR3","Single W-CDMA, LTE Lateral N-Channel RF Power MOSFET, 2500-2700 MHz, 14 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P26080HSR3');trackRFAnalytics('MRF8P26080HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2500","2700","28","47.3","54","14 @ AVG","W-CDMA","15 @ 2620","36.9","0.88","I/O","AB, C","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","83","2500 to 2700","-","10-YEARS APPLICATION LIFE","-","LTE, W-CDMA","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P23080H","MRF8P23080HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P23080H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2300-2400-mhz-16-w-avg.-28-v-w-cdma-lte-rf-power-ldmos-transistors:MRF8P23080H?&fpsp=1&tab=Documentation_Tab#MRF8P23080HSR3","Single W-CDMA, LTE Lateral N-Channel RF Power MOSFET, 2300-2400 MHz, 16 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P23080HSR3');trackRFAnalytics('MRF8P23080HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2300","2400","28","47.4","55","16 @ AVG","W-CDMA","14.6 @ 2300","42","0.89","I/O","AB, C","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","100","2300 to 2400","-","10-YEARS APPLICATION LIFE","-","LTE, W-CDMA","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P9300H","MRF8P9300HSR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P9300H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/920-960-mhz-100-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8P9300H?&fpsp=1&tab=Documentation_Tab#MRF8P9300HSR6","Single W-CDMA Lateral N-Channel RF Power MOSFET, 920-960 MHz, 100 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P9300HSR6');trackRFAnalytics('MRF8P9300HSR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","55.1","326","100 @ AVG","W-CDMA","19.4 @ 960","35.8","0.22","I/O","AB","LDMOS","4","-","Air Cavity 5","5","PRODUCT MATURITY/SATURATION(4)","-","920 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P20161H","MRF8P20161HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P20161H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1880-1920-mhz-37-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfet:MRF8P20161H?&fpsp=1&tab=Documentation_Tab#MRF8P20161HSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1880-1920 MHz, 37 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P20161HSR3');trackRFAnalytics('MRF8P20161HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1880","1920","28","49.9","97","37 @ AVG","W-CDMA","16.4 @ 1920","45.8","0.76","I/O","AB, C","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","147","1880 to 1920","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P20140WH","MRF8P20140WGHSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P20140WH&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1880-2025-mhz-24-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8P20140WH?&fpsp=1&tab=Documentation_Tab#MRF8P20140WGHSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1880-2025 MHz, 24 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P20140WGHSR3');trackRFAnalytics('MRF8P20140WGHSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1880","2025","28","51.5","140","24 @ AVG","W-CDMA","16 @ 1920","43.7","0.68","I/O","AB, C","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","170","1880 to 2025","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P20140WH","MRF8P20140WHR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P20140WH&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1880-2025-mhz-24-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8P20140WH?&fpsp=1&tab=Documentation_Tab#MRF8P20140WHR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1880-2025 MHz, 24 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P20140WHR3');trackRFAnalytics('MRF8P20140WHR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1880","2025","28","51.5","140","24 @ AVG","W-CDMA","16 @ 1920","43.7","0.68","I/O","AB, C","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","170","1880 to 2025","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P20140WH","MRF8P20140WHSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P20140WH&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1880-2025-mhz-24-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8P20140WH?&fpsp=1&tab=Documentation_Tab#MRF8P20140WHSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1880-2025 MHz, 24 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P20140WHSR3');trackRFAnalytics('MRF8P20140WHSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1880","2025","28","51.5","140","24 @ AVG","W-CDMA","16 @ 1920","43.7","0.68","I/O","AB, C","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","170","1880 to 2025","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P20165WH","MRF8P20165WHR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P20165WH&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1930-1995-mhz-37-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8P20165WH?&fpsp=1&tab=Documentation_Tab#MRF8P20165WHR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1930-1995 MHz, 37 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P20165WHR3');trackRFAnalytics('MRF8P20165WHR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1930","1995","28","50.2","104","37 @ AVG","W-CDMA","16.3 @ 1960","47.7","0.79","I/O","AB, C","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","190","1930 to 1995","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P20165WH","MRF8P20165WHSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P20165WH&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1930-1995-mhz-37-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8P20165WH?&fpsp=1&tab=Documentation_Tab#MRF8P20165WHSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1930-1995 MHz, 37 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P20165WHSR3');trackRFAnalytics('MRF8P20165WHSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1930","1995","28","50.2","104","37 @ AVG","W-CDMA","16.3 @ 1960","47.7","0.79","I/O","AB, C","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","190","1930 to 1995","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8HP21080H","MRF8HP21080HR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8HP21080H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-16-w-avg.-28-v-w-cdma-lte-lateral-n-channel-rf-power-mosfets:MRF8HP21080H?&fpsp=1&tab=Documentation_Tab#MRF8HP21080HR3","W-CDMA, LTE Lateral N-Channel RF Power MOSFET, 2110-2170 MHz, 16 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8HP21080HR3');trackRFAnalytics('MRF8HP21080HR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","47.8","60","16 @ AVG","W-CDMA","14.4 @ 2170","45.7","1","I/O","AB, C","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","100","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","LTE, W-CDMA","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8HP21080H","MRF8HP21080HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8HP21080H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-16-w-avg.-28-v-w-cdma-lte-lateral-n-channel-rf-power-mosfets:MRF8HP21080H?&fpsp=1&tab=Documentation_Tab#MRF8HP21080HSR3","W-CDMA, LTE Lateral N-Channel RF Power MOSFET, 2110-2170 MHz, 16 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8HP21080HSR3');trackRFAnalytics('MRF8HP21080HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","47.8","60","16 @ AVG","W-CDMA","14.4 @ 2170","45.7","1","I/O","AB, C","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","100","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","LTE, W-CDMA","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P23160WH","MRF8P23160WHSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P23160WH&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/2300-2690-mhz/2300-2400-mhz-30-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8P23160WH?&fpsp=1&tab=Documentation_Tab#MRF8P23160WHSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 2300-2400 MHz, 30 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P23160WHSR3');trackRFAnalytics('MRF8P23160WHSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2300","2400","28","51.8","150","30 @ AVG","W-CDMA","14.1 @ 2320","36.5","0.69","I/O","AB","LDMOS","2","-","Air Cavity 5","5","PRODUCT RAPID GROWTH(2)","-","2300 to 2400","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF7S27130H","MRF7S27130HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF7S27130H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/3400-3800-mhz/2500-2700-mhz-23-w-avg.-28-v-wimax-lateral-n-channel-rf-power-mosfets:MRF7S27130H?&fpsp=1&tab=Documentation_Tab#MRF7S27130HSR3","WiMAX Lateral N-Channel RF Power MOSFET, 2500-2700 MHz, 23 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF7S27130HSR3');trackRFAnalytics('MRF7S27130HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2500","2700","28","51.1","130","23 @ AVG","WiMAX","16.5 @ 2500, 16.5 @ 2700","20","0.36","I/O","AB","LDMOS","4","-","Air Cavity 3","3","PRODUCT MATURITY/SATURATION(4)","-","2500 to 2700","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF7S21150H","MRF7S21150HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF7S21150H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-44-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF7S21150H?&fpsp=1&tab=Documentation_Tab#MRF7S21150HSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 2110-2170 MHz, 44 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF7S21150HSR3');trackRFAnalytics('MRF7S21150HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","51.8","150","44 @ AVG","W-CDMA","17.5 @ 2170","31","0.37","I/O","AB","LDMOS","4","-","Air Cavity 3","3","PRODUCT MATURITY/SATURATION(4)","-","2110 to 2170","-","5-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P20100H","MRF8P20100HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P20100H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-2025-mhz-20-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8P20100H?&fpsp=1&tab=Documentation_Tab#MRF8P20100HSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1805-2025 MHz, 20 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P20100HSR3');trackRFAnalytics('MRF8P20100HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","2025","28","48.9","78","20 @ AVG","W-CDMA","16 @ 2025","44.3","0.88","I/O","AB, C","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","126","1805 to 2025","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF7S21080H","MRF7S21080HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF7S21080H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-22-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF7S21080H?&fpsp=1&tab=Documentation_Tab#MRF7S21080HSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 2110-2170 MHz, 22 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF7S21080HSR3');trackRFAnalytics('MRF7S21080HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","49","80","22 @ AVG","W-CDMA","18 @ 2170","32","0.65","I/O","AB","LDMOS","4","-","Air Cavity 3","3","PRODUCT MATURITY/SATURATION(4)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P20160H","MRF8P20160HR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P20160H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1880-2025-mhz-37-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8P20160H?&fpsp=1&tab=Documentation_Tab#MRF8P20160HR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1880-2025 MHz, 37 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P20160HR3');trackRFAnalytics('MRF8P20160HR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1880","2025","28","50.3","107","37 @ AVG","W-CDMA","16.5 @ 1920","45.8","0.75","I/O","AB, C","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","160","1880 to 2025","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P20160H","MRF8P20160HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P20160H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1880-2025-mhz-37-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8P20160H?&fpsp=1&tab=Documentation_Tab#MRF8P20160HSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1880-2025 MHz, 37 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P20160HSR3');trackRFAnalytics('MRF8P20160HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1880","2025","28","50.3","107","37 @ AVG","W-CDMA","16.5 @ 1920","45.8","0.75","I/O","AB, C","LDMOS","3","-","Air Cavity 5","5","PRODUCT STABLE GROWTH/MATURITY(3)","160","1880 to 2025","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF7S19120NR1","MRF7S19120NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF7S19120NR1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1930-1990-mhz-36-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfet:MRF7S19120NR1?&fpsp=1&tab=Documentation_Tab#MRF7S19120NR1","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1930-1990 MHz, 36 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF7S19120NR1');trackRFAnalytics('MRF7S19120NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1930","1990","28","50.8","120","36 @ AVG","W-CDMA","18 @ 1990","32","0.51","I/O","AB","LDMOS","4","-","High Pwr RF SMT 4","4","PRODUCT MATURITY/SATURATION(4)","-","1930 to 1990","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF6S27015N","MRF6S27015NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF6S27015N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/3400-3800-mhz/2300-2700-mhz-3-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF6S27015N?&fpsp=1&tab=Documentation_Tab#MRF6S27015NR1","Single W-CDMA Lateral N-Channel RF Power MOSFET, 2300-2700 MHz, 3 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF6S27015NR1');trackRFAnalytics('MRF6S27015NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2300","2700","28","41.8","15","3 @ AVG","W-CDMA","14 @ 2600","22","2.2","Input","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","-","2300 to 2700","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","45","2000 to 2700","-"
